id;name;salary;keyskills;area;employer;employementtime
80290820;Аналитик (mobile app);200000.0;('r', 'c', 'ts');Москва;Метр квадратный;full
77954455;Data Scientist (Middle+);205000.0;('r', 'c');Москва;DIGINETICA;full
71136278;Backend разработчик (Python/Go);200000.0;();Москва;БК Олимп;full
80430322;Разработчик С++/Python (senior), Linux, backend, embedded;205000.0;('r', 'senior', 'рефакторинг');Москва;Wiren Board;full
79412958;Python Software Developer (AI);205000.0;('kafka', 'spark', 'r', 'c', 'микросервисная архитектура', 'архитектура', 'spa', 'ar', 'боты');Москва;BAUM STORAGE;full
79548754;Low-code (создание и внедрение приложений в рамках платформы);60000.0;();Москва;Scalaxi;full
72687504;Middle Python developer;175000.0;('sql', 'mysql', 'js', 'json', 'c', 'ux', 'боты');Москва;Селфсек;full
79943244;Python Tech Lead;350000.0;('asyncio', 'aiohttp', 'http', 'ci', 'iohttp', 'c', 'ai', 'async', 'боты');Москва;DataGo!;full
78886285;Python разработчик (middle+ - senior);250000.0;('python', 'go', 'разработчик', 'боты');Москва;КСК-Эйч Ар;full
78373203;Senior Backend Python Developer команда Enabled (MTS AI);300000.0;('backend', 'r', 'c');Москва;МТС;full
78963389;Data Steward (распорядитель данных);300000.0;('боты');Москва;билайн;full
78876532;Эконометрист/Data scientist (Junior/Middle) в консалтинг;40000.0;('работать', 'ии');Москва;БСТ Менеджмент-Консалтинг;full
80249655;Python-разработчик senior;200000.0;('r', 'работать', 'ts', 'боты');Москва;Атом Майнинг;full
79778373;Разработчик Python (Департамент развития отношений с клиентами);200000.0;('asyncio', 'ci', 'r', 'c', 'async', 'acl', 'ux');Москва;Банк Русский Стандарт;full
80198535;Senior Data scientist;4000.0;('r', 'oop', 'it', 'ad');Москва;AMarkets;full
80378233;Младший Application Security инженер (практика SAST);4000.0;('r', 'it', 'боты');Москва;Swordfish Security;full
77642785;Junior Analyst (Аналитик);4000.0;('r', 'c', 'боты');Москва;Оптимакрос;full
79892048;Инженер по автоматизации тестирования;200000.0;('r', 'c', 'боты');Москва;АйТи БАСТИОН;full
80158959;QA Automation (Middle);185000.0;('go', 'ux', 'технолог', 'боты');Москва;Secreate;full
78952166;Data Engineer (Python);185000.0;('r', 'c', 'боты');Москва;АНО ЦИСМ;full
79870889;Старший инженер-разработчик Python;250000.0;('asyncio', 'ci', 'c', 'async', 'высшее образование');Москва;Технопром;full
