skills,amount,salarysum,value,salary
development,425,19423340.084395133,45701.97666916502,10690.520858284217
flask,555,19105463.45811052,34424.25848308202,8052.458124697548
debian,254,18909999.999999996,74448.81889763777,17414.928397108255
pytest,458,18041827.547031764,39392.636565571534,9214.651828203867
ros,201,16763333.33333334,83399.6683250415,19508.694345038948
matplotlib,640,16475548.571428578,25743.044642857152,6021.7648287385155
scipy,687,16394280.714285707,23863.581825743386,5582.124403682664
proxy,194,16326095.161072902,84155.12969625207,19685.41045526364
excel,242,14694358.940858826,60720.49149115218,14203.623740620393
front end,278,14325757.575757582,51531.50207107044,12054.152531244546
java,353,13815984.126984114,39138.765232249614,9155.266720994063
airflow,359,13390320.346320365,37298.94246885895,8724.898823124902
perl,453,13199567.55119796,29138.11821456503,6815.93408527837
android,94,12925000.0,137500.0,32163.74269005848
highload,88,11856505.935271936,134733.02199172656,31516.496372333695
elt/etl,80,11575000.0,144687.5,33845.02923976608
clickhouse,252,11553257.575757556,45846.26022126014,10724.271396785998
fastapi,596,11356962.375859456,19055.305999764187,4457.381520412675
gitlab,304,10427857.142857146,34302.16165413535,8023.897462955638
ansible,261,10206198.14285715,39104.207443897125,9147.183027812192
boost,523,9908130.95238096,18944.801056177745,4431.532410801812
php,133,9537500.0,71710.52631578948,16774.392120652512
ds,185,9465714.285714293,51166.0231660232,11968.66038971303
json,386,8656306.666666675,22425.66493955097,5245.769576503151
tensorflow,271,8484250.000000011,31307.19557195576,7323.320601627079
scala,115,8215333.333333342,71437.68115942036,16710.568692262073
big data,83,8023333.333333342,96666.66666666676,22612.08576998053
nltk,226,7878333.333333308,34859.88200589959,8154.358363953121
pymorphy,226,7878333.333333308,34859.88200589959,8154.358363953121
assembler,52,7548703.655314568,145167.3779868186,33957.2814004254
django,311,7297864.652533072,23465.8027412639,5489.076664623134
api,296,7269884.45378151,24560.42045196456,5745.1275911028215
pytorch,199,6900669.642857134,34676.73187365394,8111.516227755307
algorithms,179,6250833.333333348,34920.85661080082,8168.621429427092
gis,140,6225833.333333333,44470.23809523809,10402.394876079086
software development,138,6186025.607525479,44826.272518300575,10485.677782058614
requests,218,6054404.761904754,27772.49890781997,6496.490972589467
mq,118,5892500.0,49936.4406779661,11681.03875507979
redis,138,5874750.0,42570.65217391304,9958.047292143401
powershell,238,5127648.130764641,21544.740045229584,5039.7052737379145
kafka,223,5096022.727272727,22852.119853240925,5345.525111869222
ruby,101,4975318.181818181,49260.57605760575,11522.941767860995
computer vision,50,4687500.0,93750.0,21929.82456140351
lightgbm,135,4672000.000000002,34607.40740740742,8095.299978340919
thread,312,4461580.882352934,14299.938725490174,3345.0149065474093
erp,104,4455347.222222217,42839.87713675209,10021.023891637915
dbt,95,4337499.999999998,45657.894736842085,10680.209295167739
dash,118,4293333.333333334,36384.18079096045,8510.919483265603
tcp/ip,146,4125000.0,28253.424657534248,6608.988223984619
wsgi,96,3978000.0,41437.5,9692.982456140351
amqp,73,3923750.0,53750.0,12573.099415204679
nosql,113,3838333.333333336,33967.551622418905,7945.626110507345
xml,87,3801666.666666667,43697.31800766284,10221.594855593648
cmake,56,3640000.0000000014,65000.00000000002,15204.678362573106
selenium,160,3594179.1666666684,22463.61979166668,5254.647904483433
mysql,228,3571722.4567099577,15665.449371534902,3664.432601528632
iptables,89,3515833.333333335,39503.74531835208,9240.64217973148
devops,109,3372000.000000002,30935.77981651378,7236.439723161118
soa,64,3200000.0,50000.0,11695.906432748538
svn,32,3200000.0,100000.0,23391.812865497075
soap,64,3200000.0,50000.0,11695.906432748538
groovy,101,3122499.999999999,30915.841584158406,7231.775809159861
ico,97,3016666.6666666656,31099.656357388303,7274.773416932936
presto,95,2982424.242424239,31393.93939393936,7343.611554137861
socket,150,2940000.0,19600.0,4584.795321637427
elasticsearch,63,2700000.0,42857.142857142855,10025.062656641603
celery,63,2700000.0,42857.142857142855,10025.062656641603
vr,20,2666666.6666666665,133333.3333333333,31189.083820662763
kvm,77,2566666.666666667,33333.333333333336,7797.270955165692
swagger,77,2566666.666666667,33333.333333333336,7797.270955165692
embedded,102,2515000.0,24656.86274509804,5767.687191835798
s3,126,2307272.727272723,18311.68831168828,4283.4358623832233
jira,126,2307272.727272723,18311.68831168828,4283.435862383223
confluence,126,2307272.727272723,18311.68831168828,4283.435862383223
openshift,126,2307272.727272723,18311.68831168828,4283.435862383223
sqlalchemy,54,2121428.5714285723,39285.714285714304,9189.640768588142
postgresql,141,2004058.4415584395,14213.180436584676,3324.7205699613282
wireshark,80,2000000.0,25000.0,5847.953216374269
plotly,79,1975000.0,25000.0,5847.953216374269
rabbitmq,45,1968750.0,43750.0,10233.91812865497
keras,46,1840000.0,40000.0,9356.72514619883
html,78,1809999.999999999,23205.128205128192,5428.100164942267
alembic,62,1756666.666666665,28333.33333333331,6627.680311890832
unittest,135,1725000.0,12777.777777777776,2988.9538661468487
